Date,Silver_Close,Open,High,Low,Gold_Close,Open,High,Low,Monthly_Silver_%,Monthly_Gold_%
2015-02-28,16.743894736842105,16.803684210526313,17.04921052631579,16.572894736842105,1225.4842105263158,1230.9052631578945,1238.7894736842106,1219.878947368421,-0.02697031980229503,-0.041991705342154684
2015-03-31,16.215545454545452,16.222181818181813,16.423772727272727,16.049227272727276,1177.8545454545456,1180.418181818182,1188.8045454545454,1171.7136363636362,-0.03155474222697474,-0.03886599652827383
2015-04-30,16.337714285714288,16.351428571428574,16.55619047619048,16.131190476190483,1199.8285714285716,1199.595238095238,1207.9476190476194,1191.2476190476186,0.00753405622470682,0.01865597586631207
2015-05-31,16.8187,16.766750000000002,17.0015,16.5935,1198.1999999999998,1197.9999999999998,1205.1,1190.65,0.02944020845720674,-0.0013573367623949117
2015-06-30,16.028045454545456,16.10022727272727,16.236590909090907,15.908636363636367,1181.159090909091,1182.981818181818,1188.6727272727271,1175.0999999999997,-0.04701044346201211,-0.01422209071182512
2015-07-31,15.018045454545456,15.075454545454544,15.212954545454549,14.845454545454544,1128.3363636363636,1130.0454545454545,1136.6727272727276,1120.8954545454542,-0.06301454552673291,-0.04472109445652395
2015-08-31,14.909809523809523,14.922142857142857,15.131190476190476,14.69714285714286,1118.8190476190473,1117.1619047619051,1126.4285714285713,1109.3952380952378,-0.007207058406070721,-0.008434821675554427
2015-09-30,14.73242857142857,14.753809523809522,14.930476190476192,14.569523809523812,1123.8666666666666,1125.2809523809524,1131.9095238095238,1117.5333333333333,-0.011896929474363271,0.00451155980796103
2015-10-31,15.80090909090909,15.722227272727276,15.931772727272726,15.555409090909093,1159.390909090909,1156.0318181818182,1165.6045454545454,1149.3454545454545,0.07252575597431954,0.03160894746492082
2015-11-30,14.412550000000001,14.493750000000002,14.590900000000001,14.334150000000003,1083.8849999999998,1088.5749999999998,1094.44,1079.975,-0.08786577297048492,-0.06512549693020642
2015-12-31,14.07181818181818,14.054454545454549,14.223318181818183,13.931272727272725,1068.5863636363638,1067.7954545454543,1075.4863636363636,1061.4318181818182,-0.02364132774434924,-0.014114630577631404
2016-01-31,14.086894736842106,14.09842105263158,14.251578947368422,13.934736842105266,1097.2894736842106,1095.7,1104.9263157894736,1089.5368421052633,0.001071400641276421,0.026860823817900004
2016-02-29,15.145750000000001,15.0785,15.291,14.925,1201.605,1192.7450000000001,1210.205,1184.1699999999998,0.0751659810723666,0.09506655155047117
2016-03-31,15.460045454545456,15.413409090909092,15.635454545454541,15.258863636363635,1245.8545454545451,1246.1181818181817,1258.290909090909,1234.6636363636364,0.020751395906142278,0.03682536728337937
2016-04-30,16.339142857142857,16.20404761904762,16.496666666666666,16.066428571428574,1243.8428571428574,1240.3666666666666,1252.1476190476192,1232.895238095238,0.05686253673587571,-0.0016147056002864257
2016-05-31,16.913142857142862,16.992380952380948,17.145476190476185,16.76809523809524,1260.9285714285716,1263.1380952380948,1270.8714285714286,1253.0952380952378,0.03513036179551321,0.01373623218367026
